Date,Open,High,Low,Close,Adj Close,Volume
28-01-2010,515.117188,518.311951,507.687622,513.705566,465.596375,15332621
29-01-2010,511.600525,520.961792,504.27002,518.18811,469.65921,10768195
01-02-2010,513.878967,522.546753,512.913086,517.79187,469.300018,5599315
02-02-2010,521.060852,523.215454,507.241852,508.826843,461.174591,7960410
03-02-2010,510.708984,519.277771,510.708984,512.120605,464.159912,6946618
04-02-2010,514.126587,514.126587,502.239258,504.7901,457.5159,5526277
05-02-2010,482.922363,499.143616,482.922363,486.240936,440.703918,13790942
06-02-2010,null,null,null,null,null,null
08-02-2010,487.875427,497.459595,482.922363,492.506531,446.38266,11950507
09-02-2010,492.209351,494.314392,486.736237,491.9617,445.888885,6595770
10-02-2010,495.255463,495.255463,486.389526,487.924957,442.230225,8427562
11-02-2010,489.980469,505.11203,489.609009,502.808868,455.720184,10822218
15-02-2010,508.678253,508.678253,499.069336,500.258057,453.408325,6229609
16-02-2010,500.307587,505.706421,497.781525,504.09668,456.88739,4646498
17-02-2010,507.687622,514.027527,506.226471,511.427185,463.531403,7213298
18-02-2010,510.164154,514.299927,492.828491,494.215332,447.931427,9153440
19-02-2010,492.828491,492.828491,483.987274,486.983887,441.377319,8193714
22-02-2010,492.977081,495.304993,480.445862,484.383514,439.020416,5857376
23-02-2010,482.427063,486.884827,480.445862,483.095734,437.853271,5988853
24-02-2010,480.445862,488.222137,478.786591,484.804535,439.402039,5763020
25-02-2010,485.448425,487.875427,475.071808,477.028259,432.354034,8747297
26-02-2010,479.950562,492.828491,478.58847,484.878845,439.46936,10420312
02-03-2010,487.875427,494.809692,485.101715,486.983887,441.377319,8404187
03-03-2010,489.361328,509.173553,489.361328,507.588562,460.052277,12286956
04-03-2010,515.117188,515.117188,499.267456,502.239258,455.203888,9590528
05-03-2010,506.201721,508.182922,497.831055,500.158997,453.318481,5433932
08-03-2010,505.805481,508.678253,496.295624,497.335754,450.759644,5510907
09-03-2010,498.524475,501.149597,489.386108,490.525299,444.587036,8057566
10-03-2010,492.828491,504.66626,490.005249,499.638916,452.847168,11448507
